cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29
205082,0,?,0,?,?,19,23,29,0,?,13,4,0,?,0,?,0,?,3,?,0,13,0,12,?,5,?,0,20,1
179640,0,0,0,0,0,7,27,30,?,?,13,0,21,?,9,2,0,0,3,2,1,13,0,19,?,0,?,?,?,?
206926,4,7,0,6,0,?,0,30,0,0,13,2,19,?,2,2,0,0,3,?,?,13,0,?,?,0,?,0,20,?
168868,0,0,5,0,1,?,0,?,0,1,13,0,0,?,0,2,20,0,3,2,?,13,15,0,?,0,?,0,?,1
202159,0,0,?,8,0,10,0,0,1,1,?,1,0,1,0,2,?,0,3,?,0,13,0,0,1,0,?,0,0,?
142505,0,?,0,?,?,20,38,0,0,1,0,7,8,1,0,2,4,0,3,0,1,?,2,0,?,4,?,0,42,0
220858,6,10,0,12,?,20,?,31,0,1,0,0,0,1,0,2,?,?,3,0,?,0,4,0,9,0,?,0,0,10
155504,6,10,0,0,?,20,5,2,0,1,0,0,?,?,0,2,25,0,3,0,1,0,0,0,0,16,?,0,0,10
239630,?,2,7,0,?,32,0,6,0,0,8,0,0,1,0,?,0,15,3,2,?,14,1,10,0,0,?,1,?,0
136205,?,2,0,0,?,?,0,0,1,0,0,0,0,1,0,2,0,0,3,2,1,0,1,0,0,0,?,1,30,0
253091,0,1,?,0,?,44,?,8,0,0,0,2,?,1,0,2,?,7,3,2,1,?,0,10,21,0,?,0,0,17
154422,0,2,0,0,?,44,?,?,0,0,?,0,?,1,4,?,22,0,3,0,1,5,2,9,?,1,?,3,0,17
145634,3,0,5,0,?,44,?,0,1,1,?,0,?,1,6,2,22,0,3,2,1,5,2,0,0,?,?,?,?,17
161081,0,0,?,?,?,?,?,8,?,0,8,0,?,?,0,2,0,0,3,0,1,?,1,0,0,3,?,?,0,?
231714,?,0,14,0,?,20,?,?,0,0,0,?,?,?,1,2,0,15,3,0,1,5,0,0,0,0,?,3,?,?
252738,?,0,14,5,?,20,?,0,0,1,11,1,?,1,7,2,0,0,3,?,1,5,0,0,15,0,?,3,0,?
137775,3,?,?,0,?,?,?,0,0,0,0,0,?,1,?,2,9,0,3,0,1,?,15,?,?,0,?,3,23,0
139460,0,0,0,0,?,0,?,30,1,0,0,?,?,1,0,2,9,0,3,0,1,5,?,0,35,1,?,3,44,8
244352,3,0,?,0,?,0,?,?,0,0,?,4,?,1,1,2,22,8,3,0,1,13,6,0,0,1,?,2,16,?
137211,0,0,?,?,?,0,?,?,?,1,18,0,?,1,0,2,0,8,3,0,1,13,?,0,33,1,?,2,29,0
225061,0,0,8,0,?,0,?,31,?,0,0,0,3,1,0,?,?,0,3,2,1,0,6,11,0,?,?,2,0,3
242851,?,0,?,17,?,0,?,0,2,1,?,?,0,1,0,2,9,15,3,2,1,?,0,0,10,0,?,0,?,2
233603,0,0,?,?,?,46,?,?,0,0,?,0,25,1,0,2,0,15,3,?,?,0,0,0,0,5,?,0,0,2
193544,3,0,11,0,?,0,?,31,0,1,?,0,?,1,0,2,?,15,3,?,1,0,0,27,0,?,?,0,0,26
257371,0,0,0,0,?,20,?,1,?,1,?,0,0,1,0,2,0,15,3,?,?,?,0,1,8,1,?,0,30,0
169454,3,0,0,0,1,16,0,24,1,?,8,7,0,1,0,?,25,0,3,0,1,?,0,0,0,6,?,0,0,8
124361,3,?,0,2,1,32,0,0,?,0,8,1,10,1,0,2,20,?,3,0,1,0,7,1,0,6,?,3,22,0
174029,0,0,0,0,1,?,?,?,?,?,0,?,?,1,1,2,?,0,3,0,1,?,0,1,?,0,?,0,?,?
225518,?,0,0,0,1,32,12,?,?,?,0,0,5,1,0,?,?,11,3,2,?,0,7,0,0,0,?,0,0,0
137430,0,0,?,0,1,?,12,15,?,0,0,0,0,1,13,2,22,11,?,2,?,?,4,0,0,4,?,0,0,0
217793,?,12,0,?,1,1,12,?,?,1,0,0,0,1,0,?,9,?,3,4,1,?,0,12,?,1,?,0,0,0
218145,6,?,0,12,1,0,12,0,?,?,0,?,0,1,9,2,0,2,?,?,1,0,?,0,0,0,?,?,?,0
260786,0,0,0,?,1,36,12,?,?,0,0,2,0,1,10,2,0,0,?,0,?,?,0,0,0,8,?,0,?,0
150843,0,24,0,?,1,?,0,14,1,0,?,7,0,1,0,2,0,0,3,2,1,9,0,?,0,?,?,0,43,0
150781,0,24,11,?,?,7,12,0,0,0,0,0,3,1,7,2,0,0,3,2,1,0,0,?,0,?,?,0,34,0
247545,0,24,5,?,1,0,?,0,2,0,0,0,0,1,0,2,11,?,?,2,1,8,9,?,0,?,?,3,0,0
169746,3,24,5,?,1,0,4,6,1,0,?,0,13,1,?,2,0,28,3,2,1,9,0,?,?,?,?,?,0,?
225313,6,24,0,17,1,?,37,0,0,0,0,9,0,1,0,2,9,23,3,2,1,0,9,?,?,0,?,0,0,?
147874,3,?,0,17,1,24,37,0,0,0,1,9,0,1,?,2,0,?,3,2,1,0,0,?,?,0,?,3,0,8
222093,0,24,7,17,?,32,?,0,1,?,11,0,16,1,0,2,0,0,3,0,?,14,0,?,?,?,?,0,20,8
180471,?,24,0,17,1,0,37,31,0,0,0,0,0,1,7,2,?,18,3,2,1,11,2,?,10,?,?,?,0,?
243889,3,24,?,?,1,0,37,9,?,0,3,0,0,?,7,2,?,0,?,0,1,?,0,?,10,4,?,1,5,?
221987,0,23,0,0,?,?,?,?,2,?,0,0,3,?,5,?,0,?,3,2,?,13,16,?,15,15,?,?,0,3
211447,0,?,?,0,1,0,?,?,0,?,0,10,3,?,13,?,0,?,3,2,1,13,6,10,0,0,?,0,?,3
188610,0,23,0,?,0,41,?,?,1,?,11,0,3,1,0,?,4,?,3,2,1,0,0,?,0,0,?,?,?,3
154631,0,23,0,0,1,0,?,0,?,?,8,0,3,1,4,?,25,?,?,2,1,?,13,10,26,0,?,0,0,3
202374,3,?,6,0,1,7,?,7,?,?,?,0,?,1,0,?,?,?,3,2,1,?,0,?,29,1,?,0,14,?
226182,0,23,0,0,1,7,?,7,0,?,?,1,?,1,2,?,6,?,3,0,1,0,?,10,29,1,?,0,0,3
234325,4,23,5,0,0,7,?,7,0,?,0,0,3,1,0,?,0,?,3,0,1,0,0,?,29,1,?,0,20,3
195921,?,?,0,0,1,11,?,0,1,?,?,6,?,1,?,?,23,?,3,0,0,0,0,0,1,0,?,?,0,?
158660,0,23,0,0,1,0,?,0,0,?,0,0,25,1,9,?,19,?,3,2,?,0,13,4,0,0,?,2,0,3
204494,3,23,0,6,?,7,?,0,0,?,11,13,?,?,7,?,?,?,3,2,0,0,9,4,0,1,?,1,?,3
179746,0,23,7,?,1,0,?,0,0,?,0,4,29,1,0,?,0,?,?,0,1,5,0,?,15,?,?,1,0,3
215473,?,23,2,0,1,?,?,?,?,?,?,0,3,?,0,?,0,?,3,?,?,?,0,4,0,0,?,3,18,3
201633,0,23,0,0,0,0,?,0,0,?,0,0,0,1,?,?,0,?,3,0,0,8,0,4,0,?,?,0,0,3
222527,3,23,0,0,1,0,?,?,1,0,17,0,?,1,1,?,0,5,?,2,1,13,0,0,?,4,?,?,7,0
