cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
1506,?,0,4,18,3,0,?,?,0,0,0,4,3,2,0,2,2,3,11,20,8,?,?,0,?,?,0,0,?,0
1981,?,0,4,18,3,0,0,?,0,?,0,4,?,?,0,2,?,3,11,20,8,0,0,0,0,?,0,0,?,0
1424,?,?,0,18,3,0,?,?,0,0,0,4,3,2,?,0,2,?,11,20,8,0,0,0,0,?,0,?,?,?
1626,?,0,0,18,3,0,0,?,0,0,?,4,3,2,0,0,2,3,11,20,8,0,0,0,0,?,0,0,?,?
1420,?,?,0,18,3,0,?,?,3,?,0,4,3,?,28,0,2,3,?,0,8,0,16,0,1,0,0,?,?,0
1283,?,?,?,18,3,0,?,?,0,1,0,4,3,2,0,0,2,3,11,0,8,0,?,18,1,0,0,9,?,0
1282,?,?,4,18,3,0,?,?,0,1,?,4,3,?,0,0,2,?,11,0,8,0,16,18,1,29,0,9,?,0
1607,?,10,?,18,3,4,0,?,0,0,0,4,3,?,?,0,2,3,11,2,8,0,0,0,0,?,?,?,?,0
1521,?,?,0,18,3,0,12,?,0,0,?,?,3,2,0,0,2,3,?,2,8,0,0,0,12,5,1,0,?,0
1504,?,0,4,18,3,4,?,?,0,4,0,4,?,2,0,0,2,3,9,2,8,0,3,0,0,5,1,0,?,0
1303,?,0,4,18,3,4,?,?,0,0,6,?,3,?,?,2,2,3,0,?,?,30,7,4,15,0,?,0,?,0
1523,?,0,4,18,3,4,0,?,0,?,6,4,3,2,4,?,2,?,0,?,8,?,0,4,0,0,?,0,?,0
1522,?,0,4,18,3,4,0,?,?,0,6,4,3,2,4,?,?,?,0,?,8,30,0,4,0,?,?,0,?,0
1449,?,0,4,18,3,4,0,?,0,0,0,4,3,2,0,2,2,3,15,?,8,30,5,4,?,26,0,?,?,0
1349,?,0,4,18,3,4,0,?,0,4,?,4,3,?,0,2,2,?,0,?,8,30,5,4,0,0,1,25,?,0
1348,?,0,4,18,3,4,5,?,0,0,0,4,3,2,31,2,2,3,0,?,8,30,?,4,0,0,0,25,?,0
1971,?,0,4,18,3,4,0,?,0,0,0,?,3,2,0,0,2,3,0,?,8,30,?,4,?,0,0,0,?,0
1970,?,0,4,18,3,4,0,?,0,0,?,?,3,2,0,?,2,3,0,?,?,30,21,4,0,?,?,0,?,0
1193,?,0,4,18,3,4,0,?,0,0,?,4,?,2,0,0,?,3,0,?,8,30,21,4,0,1,3,0,?,0
1192,?,0,?,18,3,4,0,?,0,0,0,4,3,2,0,0,2,3,0,?,8,?,?,4,0,0,3,0,?,0
1125,?,0,4,18,3,4,0,?,0,0,0,4,?,2,0,?,2,3,15,?,8,30,21,4,0,0,0,0,?,0
1035,?,0,4,18,3,4,0,?,0,0,0,4,3,2,0,?,?,?,?,?,?,30,21,4,0,0,0,0,?,?
1119,?,?,0,18,3,4,?,?,0,2,13,4,3,2,0,2,2,3,15,?,8,?,11,0,79,?,1,0,?,?
1161,?,3,0,?,3,4,6,?,0,?,0,?,3,2,0,2,2,3,?,?,8,0,0,?,79,?,1,0,?,0
1160,?,3,?,18,3,?,6,?,0,?,0,4,3,2,0,2,2,?,?,?,8,0,?,?,79,9,1,?,?,0
1410,?,3,4,18,3,4,6,?,0,0,?,?,3,2,0,2,2,3,15,?,?,0,0,3,?,?,1,0,?,0
1405,?,0,?,18,3,4,6,?,2,?,1,4,3,2,0,1,2,3,0,?,?,2,0,0,0,9,0,0,?,0
1404,?,0,0,18,?,?,6,?,2,0,1,4,3,2,0,1,2,3,0,?,8,2,0,?,?,9,0,0,?,?
1457,?,0,0,18,3,4,6,?,2,0,0,4,3,2,?,?,2,?,0,?,8,0,1,0,?,?,0,?,?,6
1339,?,?,0,?,?,4,?,?,2,4,0,4,3,2,0,1,2,3,?,?,8,0,0,0,0,9,0,0,?,0
1338,?,?,0,18,3,4,6,?,2,4,15,4,3,2,0,1,2,3,0,?,8,0,0,0,0,9,0,0,?,?
1287,?,7,0,18,3,4,3,?,?,0,?,?,?,2,0,0,?,3,?,1,8,?,16,4,0,?,2,0,?,?
1286,?,7,0,?,3,0,?,?,0,0,13,?,?,?,0,2,?,3,?,1,8,2,16,4,0,?,?,0,?,0
1150,?,7,0,18,3,0,3,?,0,0,13,?,?,2,0,0,?,3,?,1,8,2,16,0,?,?,1,0,?,0
1159,?,?,4,18,3,?,3,?,4,0,13,4,?,2,0,?,?,3,0,?,8,2,16,0,0,?,0,0,?,6
1252,?,7,0,?,3,4,3,?,3,0,?,?,?,2,26,3,?,?,0,?,8,2,16,0,?,?,0,0,?,5
1342,?,7,?,18,3,0,3,?,1,0,13,4,?,2,0,2,2,?,23,0,8,?,10,0,0,?,0,0,?,0
1719,?,?,0,?,3,4,3,?,1,0,13,4,?,?,0,0,2,3,23,0,8,?,?,0,0,?,0,4,?,0
1110,?,7,0,18,3,0,3,?,0,4,13,4,?,2,0,0,2,3,0,0,8,2,10,13,0,?,0,0,?,0
1190,?,0,4,18,3,?,3,?,0,0,?,4,?,2,0,0,?,3,4,0,8,0,?,0,0,?,1,4,?,0
1299,?,0,4,?,?,4,3,?,?,0,?,4,?,2,0,0,2,3,4,0,8,?,0,0,0,?,1,4,?,0
1298,?,?,4,18,3,4,3,?,0,0,13,4,?,2,0,0,2,3,4,0,8,0,0,0,0,?,1,4,?,0
1377,?,0,0,?,3,0,3,?,?,0,13,4,?,2,0,0,2,3,4,1,8,0,0,0,50,?,0,?,?,?
1250,?,0,0,18,3,4,3,?,0,0,?,4,?,2,0,?,2,3,?,8,8,0,?,0,0,?,0,4,?,0
1079,?,?,1,18,3,?,?,?,0,?,13,4,?,2,17,0,2,3,?,8,8,0,0,?,0,?,0,4,?,0
1078,?,0,4,18,3,4,3,?,?,0,13,4,?,2,0,0,2,3,4,8,8,0,0,?,0,?,0,4,?,?
1407,?,0,0,18,3,4,3,?,0,2,13,?,?,2,?,0,2,3,4,?,8,?,0,0,?,?,1,4,?,14
1406,?,?,0,18,3,4,3,?,0,2,13,?,?,2,0,0,2,3,?,8,?,?,?,0,?,?,?,4,?,14
1007,?,0,0,?,3,4,3,?,?,0,9,?,?,?,0,0,2,3,0,1,8,?,0,23,0,?,?,0,?,0
1973,?,0,0,18,?,0,3,?,?,0,9,4,?,2,?,2,2,3,0,1,8,?,?,23,0,?,0,0,?,0
1884,?,20,4,18,3,0,?,?,?,3,?,4,?,2,?,0,?,?,0,?,8,12,6,0,8,?,?,0,?,0
2045,?,20,0,?,3,4,0,?,?,0,9,4,?,2,?,0,?,?,0,?,?,12,?,0,8,?,?,0,?,0
2044,?,?,0,?,3,4,0,?,?,0,9,4,?,2,?,0,?,3,?,?,8,12,0,0,?,?,?,0,?,0
2031,?,20,?,18,3,0,0,?,?,0,9,4,?,2,0,0,?,?,0,?,8,12,0,?,8,?,?,0,?,0
1098,?,0,2,18,3,0,12,?,?,0,9,4,?,?,0,0,2,3,0,?,8,0,0,0,15,?,0,0,?,5
1023,?,0,0,?,3,0,0,?,?,?,9,4,?,2,?,0,2,3,?,1,8,20,0,0,0,?,?,0,?,?
1022,?,0,?,18,3,0,?,?,?,?,9,4,?,2,0,?,2,3,?,?,8,20,0,0,0,?,0,?,?,5
983,?,0,0,18,3,?,0,?,?,4,9,4,?,2,0,0,2,3,12,1,?,0,0,?,63,?,?,0,?,?
1964,?,0,0,18,?,0,?,?,?,4,9,4,?,2,0,?,?,3,?,1,?,0,?,0,63,?,1,0,?,5
1301,?,0,0,18,3,0,0,?,?,4,0,4,?,2,?,?,2,?,6,?,?,?,0,0,0,?,0,?,?,0
1300,?,?,?,18,?,0,?,?,?,4,0,4,?,?,?,0,2,3,6,1,?,21,0,0,0,?,0,0,?,0
1477,?,0,0,18,3,0,0,?,?,4,0,4,?,2,1,?,?,3,6,1,8,21,0,0,0,?,1,0,?,0
1727,?,?,4,?,3,0,0,?,?,?,0,?,?,2,1,0,2,3,?,1,8,21,0,0,0,?,0,0,?,?
1726,?,1,4,18,3,0,?,?,?,?,0,4,?,2,1,?,2,3,6,1,8,21,?,0,?,?,0,0,?,0
1095,?,0,4,18,3,?,2,?,?,4,0,?,?,?,1,0,2,3,6,1,8,1,?,?,0,?,0,0,?,0
1094,?,0,4,18,3,0,2,?,?,4,0,4,?,2,1,?,2,?,6,?,8,0,0,0,?,?,2,0,?,0
1045,?,0,4,18,3,4,2,?,?,4,0,4,?,2,1,?,2,3,6,1,8,0,0,0,?,?,0,0,?,0
1165,?,?,4,18,?,0,?,?,?,4,0,4,?,?,1,0,2,3,6,1,8,0,0,0,?,?,?,0,?,14
1080,?,0,?,18,3,0,0,?,?,4,9,4,?,2,1,0,2,3,?,1,8,0,0,0,0,?,2,43,?,14
1763,?,?,?,18,3,0,6,?,?,4,0,4,3,2,0,2,2,?,0,0,8,2,2,0,10,26,3,3,?,2
1785,?,?,4,18,3,0,6,?,?,4,0,4,3,2,0,2,2,?,0,0,8,2,2,0,10,26,?,?,?,2
1784,?,?,4,18,3,0,6,?,?,4,0,4,3,?,?,2,2,?,0,0,8,2,2,0,?,26,?,0,?,2
1893,?,0,4,18,3,0,?,?,?,4,12,4,3,2,?,2,?,?,0,0,8,2,10,0,?,26,3,?,?,2
1892,?,0,4,18,3,0,?,?,?,4,12,4,?,?,3,2,2,?,0,0,8,2,?,0,10,26,3,6,?,2
