cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
1627,?,1,?,1,?,4,0,0,0,21,?,0,6,?,7,?,0,0,4,1,?,6,4,0,?,?,2,1,8,5
1626,?,1,?,1,?,4,0,0,0,21,0,0,6,?,7,?,0,0,4,1,0,6,4,0,5,39,2,1,8,?
1311,?,1,?,1,1,4,7,?,0,17,?,17,6,?,7,?,0,0,?,1,12,6,?,0,5,39,2,1,?,5
1310,?,1,?,1,1,4,7,2,0,?,1,0,?,?,7,?,0,?,?,1,?,6,4,0,5,39,2,1,8,5
1420,?,1,?,1,?,4,7,2,0,17,1,0,6,?,7,?,?,0,?,1,?,6,4,4,5,39,2,1,?,5
1599,?,1,?,1,1,4,7,2,0,14,1,0,6,?,7,?,0,0,?,1,2,?,4,31,5,39,2,1,?,5
1598,?,1,?,?,1,?,?,2,?,14,1,0,6,?,?,?,0,0,?,?,?,?,4,31,5,39,2,1,8,5
1607,?,1,?,?,1,4,0,0,0,18,1,?,6,?,7,?,0,?,?,1,2,3,4,0,?,39,0,1,8,5
1606,?,1,?,?,?,4,0,0,0,18,1,0,6,?,7,?,?,0,0,1,2,3,4,0,5,39,0,1,8,5
1434,?,1,?,?,1,4,0,0,0,18,1,?,6,?,7,?,0,0,0,1,2,0,4,0,5,39,0,1,8,5
1332,?,1,?,?,?,4,0,0,0,18,1,0,6,?,7,?,0,0,0,1,2,0,4,0,5,39,0,1,8,5
1490,?,1,?,?,1,4,0,0,33,18,1,31,6,?,7,?,?,4,33,1,2,0,4,0,5,39,0,?,?,5
1755,?,1,?,?,1,4,?,0,33,18,1,31,6,?,7,?,1,4,33,1,2,0,4,0,5,39,0,1,8,5
1302,2,1,?,0,1,?,?,?,0,0,0,0,6,7,7,?,0,8,0,?,?,3,?,?,5,?,0,1,8,3
1348,0,1,?,0,1,0,0,24,0,0,1,5,6,0,7,?,0,8,4,?,9,3,4,14,5,?,0,?,8,?
1971,12,1,?,?,?,0,?,0,?,0,1,0,6,0,7,?,15,0,0,?,?,3,4,14,5,?,2,1,8,3
1193,12,1,?,1,1,0,0,?,0,0,1,0,6,?,7,?,0,0,0,?,9,3,?,14,5,?,2,1,8,3
1192,12,1,?,0,?,0,7,4,0,0,?,0,6,0,7,?,?,0,?,?,9,3,4,14,5,?,2,1,8,?
1125,12,1,?,0,1,12,?,0,0,0,1,0,?,0,7,?,0,0,?,?,9,?,4,14,5,?,0,1,8,?
1124,0,?,?,0,1,12,?,?,0,?,1,41,6,0,7,?,?,0,?,?,9,3,4,14,5,?,0,1,8,?
1034,5,?,?,0,1,12,0,0,?,?,1,0,6,7,7,?,0,0,?,?,9,3,4,?,5,?,0,1,8,3
1160,0,1,?,0,?,0,7,0,0,0,0,0,6,11,7,?,0,0,?,?,9,0,4,14,5,?,2,1,8,3
1410,0,1,?,1,1,0,?,0,?,0,0,0,6,0,7,?,?,0,0,?,?,0,4,?,?,39,0,1,?,?
1483,0,1,?,0,1,0,7,?,?,21,0,0,6,0,?,?,0,0,0,?,9,0,4,14,5,39,?,1,8,3
1113,0,?,?,0,1,0,0,0,?,8,0,17,6,0,7,?,0,?,0,?,9,0,?,?,5,39,2,1,?,3
1457,0,1,?,0,1,0,?,0,?,8,0,0,6,?,7,?,0,0,?,?,9,3,4,14,5,39,0,1,8,3
1456,0,1,?,0,1,?,0,0,?,8,0,?,6,?,?,?,0,?,0,?,9,?,4,?,5,?,0,1,?,3
1339,7,1,?,1,1,0,?,0,?,8,0,0,6,?,?,?,0,0,0,?,9,?,?,14,5,39,0,1,8,3
1287,11,0,2,1,?,0,?,0,10,13,0,0,6,8,7,?,0,0,0,1,0,3,4,0,5,?,2,1,8,7
1158,11,?,2,0,0,0,0,0,?,0,0,0,6,8,?,?,0,14,0,?,0,0,4,4,5,39,0,?,8,7
1253,?,1,?,0,0,0,?,0,10,0,0,0,6,8,?,?,0,0,0,1,0,?,4,0,?,39,0,?,8,?
1342,11,?,2,?,0,10,0,?,0,0,1,0,6,8,7,?,26,0,0,1,?,0,4,17,?,39,0,1,8,0
1111,11,?,2,0,1,0,?,0,20,0,1,1,6,8,7,?,0,0,0,?,16,0,?,17,5,39,0,1,8,?
