cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
1507,2,0,0,1,1,16,3,?,0,0,5,3,0,0,2,4,0,2,0,41,1,1,0,7,?,?,?,?,1,0
1506,2,0,0,1,1,16,3,0,0,?,?,3,0,0,2,4,0,2,0,41,?,1,0,7,?,?,?,2,1,0
1981,?,?,0,1,1,?,3,0,0,5,5,3,0,0,2,4,0,2,0,?,1,0,0,0,?,?,22,?,1,?
1980,2,2,0,1,1,16,?,0,0,5,5,?,0,0,2,4,0,2,0,41,1,?,?,0,?,?,22,2,1,0
1425,2,0,?,?,0,16,31,0,?,0,5,3,?,?,2,?,0,2,0,41,1,0,0,0,?,?,22,2,1,?
1424,2,?,0,?,0,16,?,0,?,0,5,3,0,?,2,4,0,?,0,?,?,0,0,0,?,?,?,2,1,?
1627,2,0,0,1,0,16,?,0,0,0,5,3,?,0,2,4,0,2,0,41,1,0,0,?,?,?,22,2,1,0
1626,2,0,0,?,0,?,0,0,0,0,5,3,0,0,2,4,0,?,0,41,1,0,?,0,?,?,?,2,1,0
1311,?,0,4,1,0,16,5,0,6,0,5,3,2,0,2,4,3,0,6,41,1,0,1,?,10,0,22,2,1,0
1310,?,0,4,1,0,16,5,?,6,0,5,3,2,?,2,4,3,0,6,41,1,0,1,0,10,0,22,2,1,0
1421,?,0,?,1,0,16,5,0,0,0,5,3,?,0,2,4,0,0,0,41,1,0,?,0,10,3,?,?,1,0
1420,?,2,4,1,0,16,5,?,0,5,5,3,2,0,2,4,0,0,0,41,1,0,?,0,10,3,?,2,1,0
1283,?,2,4,?,?,?,5,?,0,0,5,3,?,0,2,?,3,0,0,41,1,0,0,?,10,?,22,2,?,0
1282,?,2,?,1,0,16,?,6,0,0,5,3,2,?,2,?,3,0,0,?,1,0,?,0,10,?,22,2,1,0
1599,?,?,4,1,?,16,5,6,0,0,5,?,2,0,2,4,0,?,0,41,?,?,0,?,10,?,22,2,1,0
1598,?,0,4,1,0,16,5,6,0,0,5,3,2,0,2,4,?,0,0,41,1,?,0,0,10,?,22,2,1,0
1607,0,0,5,?,1,16,?,?,0,0,5,3,0,0,2,4,0,2,0,41,?,?,0,0,10,0,22,0,?,0
1606,0,0,5,?,1,16,?,8,0,0,5,3,0,0,2,4,0,2,0,41,1,0,0,0,10,0,22,0,1,0
1639,0,0,?,1,1,?,0,8,0,0,5,3,0,0,2,4,0,2,0,41,1,0,0,5,10,0,22,?,1,?
