cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
1506,0,2,7,?,0,0,0,0,?,1,?,?,0,6,11,5,13,0,2,?,1,16,0,?,?,?,6,5,2,?
1627,0,2,7,2,?,0,0,0,4,1,?,0,0,6,11,?,?,1,?,?,1,16,0,17,?,17,6,5,2,1
1626,0,2,7,2,?,?,0,0,4,1,4,0,0,6,11,3,13,1,?,?,1,16,?,17,?,17,6,5,2,1
1282,0,2,7,2,0,0,0,1,?,1,4,0,0,?,11,0,?,0,2,?,1,16,0,?,?,17,6,5,2,?
1607,20,2,7,0,0,?,0,0,4,1,0,0,38,6,11,?,13,1,?,3,?,16,0,17,?,17,6,?,2,?
1606,20,2,7,0,0,15,0,0,4,?,0,0,38,?,11,?,13,1,?,3,1,16,0,17,?,?,?,5,?,0
1434,?,2,7,0,0,15,5,0,4,1,0,8,38,?,11,0,13,0,?,1,?,?,16,17,?,17,6,5,2,1
1333,0,2,7,0,0,15,5,0,4,1,5,?,38,6,11,4,13,0,?,1,1,16,0,17,?,17,?,5,2,0
1332,2,2,7,0,0,15,5,0,4,1,?,8,38,?,11,?,13,0,?,1,1,16,0,17,?,17,6,5,2,0
1491,26,?,7,?,?,15,0,?,?,?,?,0,?,?,?,0,13,0,0,3,1,16,24,17,?,17,6,5,2,0
1490,26,2,7,0,?,15,0,0,?,1,?,0,0,6,11,4,13,0,0,?,1,16,?,17,?,?,6,5,?,0
1303,?,?,7,2,0,33,9,?,4,?,0,0,?,0,16,0,13,?,0,2,1,16,?,?,?,17,6,5,?,0
1302,?,2,?,2,0,33,9,2,4,1,0,0,?,0,16,21,13,?,0,2,1,?,?,?,?,17,6,5,2,0
1523,?,2,7,2,0,33,0,2,4,?,0,0,?,0,16,0,13,1,4,2,1,?,?,?,?,17,6,5,2,1
1449,?,2,7,2,1,33,0,2,4,1,4,0,?,0,16,3,13,1,0,2,1,16,?,17,?,17,6,5,2,1
1349,?,2,7,2,?,33,0,2,4,1,0,0,?,0,?,?,13,?,0,2,1,16,?,?,?,?,6,5,?,?
1348,?,2,7,2,0,33,0,2,4,1,0,0,?,0,?,0,13,1,0,2,?,16,?,17,?,?,6,5,2,0
1125,?,?,7,0,0,33,0,0,4,1,0,0,0,0,0,4,13,1,0,?,1,16,0,17,?,17,?,5,?,0
1034,?,2,7,0,0,33,5,2,4,1,0,0,0,0,?,4,13,1,0,2,1,16,0,17,?,17,6,5,?,0
1118,2,2,7,0,0,0,13,1,4,1,4,?,?,0,0,0,?,0,4,2,1,16,0,17,?,17,6,5,2,?
1161,?,2,7,0,0,?,13,0,4,1,4,?,0,?,0,0,13,1,4,2,1,?,0,17,?,17,6,5,2,1
1411,0,2,7,0,0,6,13,0,4,1,0,?,0,0,2,0,13,0,?,2,?,16,0,17,?,17,6,5,2,1
1483,0,?,7,0,0,?,13,0,4,1,0,?,?,0,?,9,?,0,4,2,1,16,0,17,?,17,6,5,2,1
1405,0,2,7,0,1,6,13,?,?,1,?,?,0,0,0,0,13,0,0,2,1,16,10,17,?,17,6,5,2,0
