cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
1980,0,2,7,2,?,0,0,0,4,1,?,?,0,?,11,0,13,0,2,?,?,16,0,?,?,?,6,?,2,1
1627,0,2,7,2,?,0,0,0,4,1,?,0,0,6,11,?,?,1,?,?,1,16,0,17,?,17,6,5,2,1
1311,0,?,7,0,0,?,13,0,4,1,4,0,?,6,11,?,13,0,2,?,?,?,0,17,?,17,?,5,2,3
1310,0,2,7,?,0,?,13,0,4,?,4,0,0,6,?,6,13,0,2,?,1,16,0,17,?,17,6,?,2,3
1420,?,2,7,?,?,15,0,1,4,1,4,0,?,6,?,6,13,1,2,?,?,16,0,17,?,17,6,5,2,0
1283,0,2,7,0,0,0,?,1,4,1,4,0,0,6,11,0,13,0,2,?,1,16,0,17,?,17,6,5,?,0
1599,0,2,7,0,0,?,0,1,4,1,4,0,?,6,11,0,13,?,2,?,1,16,?,17,?,?,6,5,2,0
1598,0,2,7,0,0,0,0,?,4,1,4,0,?,6,11,0,13,0,2,?,?,16,0,17,?,17,6,5,2,0
1435,?,2,7,?,0,15,5,0,?,1,0,8,38,6,11,?,?,?,?,1,1,16,16,17,?,17,?,5,2,1
1434,?,2,7,0,0,15,5,0,4,1,0,8,38,?,11,0,13,0,?,1,?,?,16,17,?,17,6,5,2,1
1333,0,2,7,0,0,15,5,0,4,1,5,?,38,6,11,4,13,0,?,1,1,16,0,17,?,17,?,5,2,0
1521,0,2,7,?,0,15,0,?,4,1,?,0,?,?,11,0,13,0,0,?,1,16,24,?,?,17,6,?,?,?
1520,0,2,7,2,0,15,?,?,?,1,?,0,0,?,11,0,13,?,0,?,1,16,24,?,?,17,6,5,?,?
1491,26,?,7,?,?,15,0,?,?,?,?,0,?,?,?,0,13,0,0,3,1,16,24,17,?,17,6,5,2,0
1523,?,2,7,2,0,33,0,2,4,?,0,0,?,0,16,0,13,1,4,2,1,?,?,?,?,17,6,5,2,1
1448,?,2,?,?,0,33,0,2,4,1,4,0,?,0,16,0,13,1,0,2,1,?,?,17,?,17,?,5,2,1
1349,?,2,7,2,?,33,0,2,4,1,0,0,?,0,?,?,13,?,0,2,1,16,?,?,?,?,6,5,?,?
1348,?,2,7,2,0,33,0,2,4,1,0,0,?,0,?,0,13,1,0,2,?,16,?,17,?,?,6,5,2,0
1970,?,2,7,0,0,33,15,0,4,1,0,0,?,?,0,4,13,1,0,2,1,?,0,?,?,17,6,5,2,0
1052,?,2,7,0,0,33,15,0,4,1,0,0,?,?,6,4,13,1,4,2,1,?,0,17,?,?,6,5,2,1
1192,?,2,7,0,0,33,?,1,4,1,0,0,1,0,?,?,13,1,0,2,1,?,0,17,?,?,?,5,2,0
1125,?,?,7,0,0,33,0,0,4,1,0,0,0,0,0,4,13,1,0,?,1,16,0,17,?,17,?,5,?,0
1124,?,?,?,0,0,33,0,0,4,1,0,0,0,0,0,?,13,1,0,2,1,16,?,17,?,17,?,5,?,0
1035,?,2,7,?,0,?,0,?,4,1,0,0,0,6,0,?,13,1,0,2,1,16,3,17,?,17,6,5,?,?
1034,?,2,7,0,0,33,5,2,4,1,0,0,0,0,?,4,13,1,0,2,1,16,0,17,?,17,6,5,?,0
1411,0,2,7,0,0,6,13,0,4,1,0,?,0,0,2,0,13,0,?,2,?,16,0,17,?,17,6,5,2,1
1482,?,2,?,0,0,0,13,?,4,1,0,?,0,0,2,9,13,0,4,2,1,16,0,17,?,17,6,?,2,?
1457,0,2,7,0,?,6,13,0,?,1,0,?,0,0,0,0,13,?,0,2,1,?,10,17,?,17,6,5,2,0
1339,0,2,7,0,0,6,13,0,?,1,0,?,0,0,0,0,13,0,4,?,1,16,10,?,?,17,6,5,2,0
1151,?,2,7,2,0,?,?,1,4,?,4,0,0,0,?,0,?,0,2,0,1,2,12,17,?,?,6,5,2,0
1150,0,2,7,2,0,?,10,?,4,?,4,?,0,0,0,?,13,0,2,19,1,?,12,17,?,17,6,5,2,0
1159,0,2,7,?,?,0,0,0,?,?,?,0,0,0,?,9,13,?,4,?,1,0,?,?,?,17,6,5,2,1
1342,2,2,7,2,0,0,13,2,4,1,4,0,0,?,0,0,13,1,4,?,1,0,12,17,?,17,6,5,?,1
1718,2,?,7,2,0,0,13,2,4,1,4,0,12,2,0,0,13,1,4,?,1,0,12,?,?,17,6,?,2,0
1111,2,2,7,2,1,?,13,0,4,1,4,?,?,0,0,21,13,?,0,?,1,0,12,?,?,17,6,5,2,0
