cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
1980,?,0,4,0,0,0,2,3,10,4,?,?,0,13,?,6,4,?,25,0,0,?,0,17,0,0,61,0,79,0
1599,?,11,4,0,?,?,2,3,0,4,0,?,?,?,0,?,?,?,25,?,2,?,4,?,19,?,?,0,69,2
1598,?,?,4,0,0,0,?,3,0,4,0,?,0,?,0,?,0,?,25,?,?,?,0,17,19,18,61,0,69,2
1434,?,0,4,?,20,0,2,3,0,0,1,?,4,8,0,?,?,?,25,?,0,?,1,17,?,33,61,0,0,2
1520,?,0,4,1,0,0,2,3,?,14,?,?,0,0,0,?,7,?,25,0,0,?,?,17,6,?,61,0,0,0
1505,?,0,4,1,0,0,?,3,0,?,1,?,0,0,0,?,?,?,25,?,0,?,?,17,6,0,61,0,0,2
1504,?,0,4,1,0,0,2,3,0,14,1,?,0,0,0,?,7,?,?,?,0,?,?,17,6,?,61,0,?,2
1491,?,?,4,1,?,?,2,?,0,14,1,?,?,0,3,?,7,?,25,0,0,?,1,17,?,20,61,0,0,0
1490,?,?,4,1,0,?,?,3,0,14,1,?,0,0,3,?,?,?,25,0,0,?,1,17,?,0,61,0,?,0
1755,?,0,4,1,2,0,2,3,10,14,1,?,0,0,3,?,7,?,25,0,0,?,1,17,0,0,61,0,0,0
1523,?,0,4,0,0,3,2,3,0,0,1,?,0,4,3,6,0,0,25,8,10,?,?,?,27,0,61,0,?,2
1449,?,7,?,?,?,?,2,3,0,0,?,?,0,0,3,6,0,?,?,7,0,?,1,0,27,?,61,0,0,2
1448,?,7,?,0,0,3,2,3,?,0,0,?,0,0,3,?,5,0,25,0,0,?,?,0,27,0,?,0,0,2
1349,?,?,?,0,?,3,2,3,0,0,0,?,0,0,?,?,0,?,25,?,0,?,0,0,27,0,61,0,34,?
1052,?,0,4,1,0,3,2,?,19,0,1,?,?,19,0,6,0,0,?,0,0,?,0,0,?,0,61,?,0,0
1193,?,?,4,0,0,3,2,3,0,0,1,?,0,19,0,6,0,0,25,0,19,?,0,0,0,22,?,0,12,?
1124,?,0,4,0,0,3,2,3,0,?,1,?,0,17,0,6,?,5,25,0,?,?,0,0,0,?,?,0,0,2
1034,?,0,4,0,0,3,2,3,0,0,1,?,0,17,3,6,9,0,25,0,0,?,0,0,2,0,61,?,?,?
1118,?,14,4,?,11,3,2,3,0,8,0,?,10,?,3,?,0,?,25,0,0,?,0,0,0,0,61,?,0,0
1160,?,?,4,0,11,3,?,3,0,2,0,?,10,?,3,6,0,0,25,0,0,?,0,0,?,0,61,?,0,?
1410,?,?,4,1,11,3,2,3,0,0,0,?,0,0,3,6,?,0,25,0,?,?,0,0,?,?,61,0,?,0
1483,?,14,4,1,11,?,?,3,0,?,?,?,?,0,3,6,0,0,25,0,?,?,0,?,?,0,61,0,45,0
1482,?,14,4,1,11,3,2,3,0,8,?,?,0,?,3,6,0,1,25,0,?,?,0,0,0,0,61,0,45,0
1113,?,0,4,0,2,3,2,3,0,0,0,?,?,?,3,6,0,?,25,0,?,?,0,0,0,?,?,?,0,0
1405,?,0,4,0,0,3,?,3,0,0,0,?,2,0,3,6,0,0,25,0,0,?,0,?,0,22,61,0,0,0
1457,?,0,4,0,0,3,2,3,0,0,?,?,0,?,3,6,7,1,25,5,0,?,?,?,0,22,61,0,?,2
1456,?,0,4,0,?,3,?,3,0,0,0,?,0,0,?,6,7,1,25,?,0,?,?,0,0,?,61,0,?,2
1338,?,0,4,0,0,3,?,3,0,?,?,?,4,0,3,6,0,1,25,5,0,?,?,0,0,0,61,?,?,0
1287,?,5,4,?,?,10,1,3,?,0,0,?,1,31,0,?,?,?,25,0,0,?,0,24,25,1,61,0,0,0
1151,?,5,4,0,0,10,1,3,19,0,?,?,?,31,2,?,?,?,25,0,0,?,0,0,25,1,61,0,0,0
1150,?,5,4,0,2,10,?,3,19,?,?,?,1,31,0,?,?,?,25,0,0,?,0,?,25,1,61,?,?,0
1253,?,5,?,?,0,10,?,3,0,0,0,?,1,31,0,?,0,?,25,0,0,?,?,0,25,0,0,0,0,0
1252,?,5,4,0,0,10,0,3,0,0,?,?,1,31,0,?,0,?,25,0,0,?,0,0,25,0,0,0,0,0
1343,?,5,4,0,7,10,0,3,15,0,0,?,1,?,0,?,?,?,25,0,9,?,0,0,16,0,3,0,0,0
1111,?,5,4,1,20,?,?,?,?,0,0,?,?,?,3,?,0,?,25,0,18,?,0,0,?,0,0,?,0,0
1110,?,5,4,?,20,10,?,3,15,0,1,?,1,31,3,?,0,?,25,0,0,?,0,0,14,0,0,?,?,0
1071,?,?,4,?,9,10,1,3,15,?,0,?,1,31,0,?,27,?,25,0,?,?,0,2,0,0,0,?,?,0
1191,?,?,4,?,0,10,?,3,0,0,?,?,1,31,0,0,0,?,25,?,0,?,1,0,0,9,?,11,23,2
1190,?,?,4,1,0,10,?,3,0,0,0,?,1,31,0,0,0,0,25,3,0,?,1,0,0,9,0,11,23,2
1263,?,?,4,0,?,10,?,3,?,1,1,?,1,31,3,0,0,0,25,3,0,?,1,?,0,9,0,11,?,0
1376,?,?,4,0,?,10,1,3,?,1,1,?,1,31,3,0,0,?,25,3,7,?,1,0,0,9,0,?,?,0
1250,?,0,4,0,7,10,0,3,0,0,1,?,1,31,0,?,6,?,25,34,?,?,1,25,19,0,0,4,41,0
1079,?,12,?,0,?,10,0,3,0,0,1,?,1,31,0,0,?,0,25,0,?,?,1,0,0,0,0,?,41,0
1078,?,?,4,0,7,10,0,3,0,0,1,?,1,31,0,0,6,?,25,0,?,?,1,?,?,0,0,?,41,0
1173,?,?,4,0,20,10,0,3,?,1,1,?,1,31,0,0,0,0,25,?,0,?,1,12,?,0,0,0,0,2
1172,?,14,4,0,8,10,?,3,21,3,1,?,1,31,0,0,0,0,25,0,0,?,1,12,0,0,0,0,0,2
1007,?,0,4,0,0,10,1,3,21,0,0,?,1,31,0,?,20,?,25,?,0,?,0,0,?,?,0,0,0,2
1059,?,0,4,0,0,?,1,3,21,0,0,?,1,31,0,3,20,0,25,8,18,?,0,?,0,10,38,0,0,0
1885,?,10,4,1,7,10,1,?,0,2,1,?,1,31,0,?,20,0,25,0,?,?,?,8,?,10,3,11,0,0
2045,?,0,4,0,?,10,?,3,24,?,1,?,1,31,0,3,20,?,25,0,0,?,?,0,0,10,0,0,0,0
1049,?,?,4,0,0,10,1,3,19,0,1,?,1,31,0,3,?,1,25,0,14,?,?,29,?,10,0,7,33,0
