cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
1506,?,0,?,1,0,?,0,10,?,0,0,3,?,0,2,12,0,0,7,38,0,0,2,16,?,?,?,0,?,8
1425,0,0,1,1,0,15,0,10,?,15,0,3,?,0,2,12,0,0,?,38,0,0,2,16,?,21,4,0,?,8
1627,0,0,1,1,0,?,0,?,3,0,2,3,?,0,2,?,1,0,7,38,0,0,2,?,?,21,4,0,?,8
1311,0,1,1,?,?,15,0,10,0,2,1,3,2,13,2,12,0,0,?,38,0,0,0,16,5,21,4,0,?,8
1420,0,1,1,1,57,15,0,10,0,0,?,3,2,0,2,12,0,3,7,38,0,0,0,16,5,21,4,?,?,8
1282,0,1,1,1,0,15,0,?,0,0,1,?,2,0,2,12,0,0,7,38,0,0,?,16,0,21,4,?,?,?
1599,0,1,1,1,0,15,0,10,0,0,1,3,2,0,2,12,0,0,7,38,0,0,0,16,0,21,4,0,?,8
1638,3,0,1,1,0,15,?,?,0,0,0,3,5,0,2,6,0,0,7,38,0,?,?,16,0,21,4,0,?,8
1333,?,0,1,1,0,?,0,10,?,?,0,3,5,25,2,26,13,1,7,38,0,0,0,16,0,21,4,0,?,8
1332,0,?,1,1,?,15,0,10,0,0,0,3,5,25,?,26,13,1,7,38,?,0,0,16,0,21,4,0,?,8
1504,0,0,1,1,0,15,24,10,3,0,0,?,0,0,?,?,0,?,?,?,14,0,0,16,30,21,?,0,?,8
1755,0,?,1,1,0,15,0,10,0,?,0,3,0,0,2,6,0,0,7,?,14,0,0,16,30,21,4,0,?,8
1754,0,0,1,1,0,15,0,10,0,22,?,3,?,?,2,0,0,0,?,38,?,0,0,16,30,21,4,0,?,8
1303,0,1,1,1,0,15,?,10,3,0,2,3,0,1,?,12,0,0,7,38,?,0,2,16,?,21,4,0,?,8
1522,0,1,1,1,0,15,?,10,?,?,0,3,0,1,2,12,16,0,7,?,?,?,2,?,21,21,4,?,?,8
1448,0,1,1,1,?,15,?,10,3,0,0,3,0,0,2,?,17,0,7,38,?,0,2,16,21,21,4,?,?,8
1349,?,?,1,1,0,15,?,10,3,0,0,3,?,0,?,?,0,0,7,?,?,0,?,16,21,21,4,2,?,8
1971,3,1,1,?,0,15,?,10,?,15,1,3,?,0,2,?,0,2,7,38,1,0,2,16,21,21,4,0,?,?
1125,0,1,1,1,0,15,?,10,3,0,0,3,?,2,2,12,0,?,7,38,20,0,2,16,21,21,4,0,?,8
1124,?,1,1,1,0,15,?,10,?,0,0,3,?,2,2,?,?,2,7,38,20,0,2,16,21,21,4,0,?,8
1035,0,1,1,1,0,15,?,10,3,15,0,3,?,2,2,?,0,?,7,?,20,?,2,16,21,21,4,0,?,8
1034,3,1,1,1,0,15,?,?,3,15,0,3,?,2,2,12,0,2,7,38,20,?,2,16,21,21,4,0,?,8
1119,0,1,1,1,0,15,0,10,3,0,?,3,0,0,2,12,2,0,7,38,?,?,0,?,21,21,4,2,?,8
1118,0,1,1,1,0,15,2,10,?,0,1,3,0,0,2,12,2,?,7,38,?,?,?,16,21,21,4,2,?,8
1410,0,1,1,1,62,15,0,10,3,?,1,3,0,0,2,12,0,0,7,?,0,20,0,16,?,21,?,0,?,8
1483,?,1,1,?,0,15,0,10,3,0,1,3,0,0,2,12,0,?,7,38,0,20,0,16,21,21,4,0,?,8
1113,3,1,?,1,0,15,0,?,3,0,?,3,0,0,2,12,0,0,7,38,0,20,0,16,21,?,4,2,?,8
1112,3,1,?,1,?,?,0,10,3,?,?,3,0,0,2,12,0,0,7,38,0,20,0,16,21,21,?,2,?,?
1456,0,1,?,1,18,15,0,?,3,0,1,3,?,0,2,12,0,?,7,38,0,20,0,?,21,21,4,0,?,8
1339,0,1,?,?,0,?,0,?,?,0,?,3,0,0,2,?,13,?,7,38,?,20,0,16,21,?,4,0,?,8
1338,0,1,1,?,17,15,7,10,?,0,1,3,0,0,2,12,0,0,7,38,14,20,0,16,21,21,?,0,?,8
1286,?,0,0,?,0,15,0,10,3,12,1,3,0,0,2,?,2,0,?,38,0,?,?,16,16,21,4,1,?,8
1151,?,0,?,1,0,15,0,?,3,0,1,3,?,0,2,?,2,?,0,38,0,?,?,16,16,21,4,?,?,8
1150,?,0,0,1,0,15,0,?,3,0,1,3,0,0,2,?,2,0,?,38,?,0,?,16,16,21,4,?,?,8
1159,?,?,0,1,40,?,0,?,3,0,1,3,0,0,2,?,2,0,0,38,0,0,?,16,1,?,4,1,?,8
1342,?,0,0,1,11,15,7,10,3,2,?,3,0,0,2,?,13,0,0,38,0,6,?,16,?,21,4,1,?,8
1719,?,0,1,1,11,15,?,10,3,?,?,3,0,0,2,?,20,1,0,?,0,?,?,16,0,21,4,1,?,8
1111,?,0,1,1,0,15,?,10,?,2,1,3,6,0,2,?,2,?,0,38,0,6,?,16,1,21,4,1,?,?
1110,?,0,1,1,0,15,?,10,3,0,1,3,6,0,2,?,2,0,0,38,0,6,?,16,1,21,4,1,?,8
2028,?,0,1,1,0,15,0,10,3,0,?,3,6,5,2,?,0,0,0,?,0,6,?,?,0,21,4,1,?,8
1190,?,1,1,1,0,?,0,?,3,0,1,?,0,0,2,3,10,0,3,?,20,0,?,16,16,21,4,0,?,?
1299,?,1,1,1,0,15,?,10,3,0,1,3,0,0,?,3,?,0,3,38,20,0,?,16,16,21,?,0,?,?
1263,?,0,1,1,0,15,0,10,3,0,1,3,2,0,2,3,?,0,3,38,20,16,?,16,16,21,4,?,?,?
1262,?,0,?,1,?,15,0,10,3,0,1,?,2,0,2,3,10,0,3,38,20,16,?,16,?,21,4,0,?,8
1377,?,4,?,1,0,15,0,10,3,0,1,3,0,0,2,?,10,2,3,38,20,16,?,16,16,21,4,0,?,8
1376,?,4,?,?,0,15,0,10,3,0,1,3,0,0,2,3,10,0,3,38,20,?,?,?,?,21,?,0,?,8
1079,?,1,1,1,0,15,?,10,3,0,1,?,0,13,2,3,10,?,3,?,?,0,?,16,16,21,4,2,?,?
1173,?,1,1,1,0,15,?,10,3,?,?,3,0,25,?,3,?,?,3,38,20,0,?,?,?,?,4,0,?,8
1172,?,1,1,1,0,15,0,10,3,3,1,3,?,0,2,3,10,?,3,38,?,?,?,?,16,21,4,0,?,8
1407,?,1,?,1,0,15,11,10,3,3,1,?,0,0,2,3,10,?,?,?,20,?,?,?,16,21,4,0,?,?
1406,?,1,1,1,0,15,11,10,3,?,1,3,0,0,2,3,10,?,3,38,20,0,?,?,16,21,4,?,?,8
1007,?,?,0,1,0,15,0,10,5,2,0,3,2,0,?,18,0,?,16,?,14,?,0,16,0,21,4,?,?,?
1059,?,1,0,1,0,15,0,10,5,22,1,3,?,0,2,?,0,?,?,38,14,0,0,16,0,21,4,?,?,8
1885,?,1,0,1,0,15,0,10,0,0,0,3,2,0,2,18,0,?,16,?,14,0,?,16,?,?,4,2,?,8
1884,?,1,?,?,0,15,0,10,?,0,0,3,?,0,2,?,0,?,16,38,14,0,?,?,0,21,4,0,?,8
2045,?,?,0,1,0,15,0,10,?,13,1,3,2,0,2,18,?,?,16,38,14,3,?,16,0,21,4,0,?,8
2044,?,1,0,1,0,15,0,10,?,13,1,?,2,0,2,18,0,?,16,?,14,3,?,16,0,21,4,0,?,8
1049,0,0,0,1,0,15,6,?,0,0,1,3,?,0,2,18,0,0,3,38,0,0,?,16,0,21,?,?,?,8
1022,0,0,0,1,?,15,0,?,0,0,1,3,0,0,?,18,20,0,?,38,9,0,?,16,15,?,4,2,?,8
1965,0,?,0,1,0,?,0,?,0,8,1,3,?,?,2,18,0,0,11,38,9,0,4,16,0,?,?,2,?,8
1300,3,1,0,1,3,15,24,10,0,7,0,?,0,0,2,18,?,1,?,38,0,18,0,16,?,21,4,0,?,8
1133,3,?,0,1,3,15,24,10,0,7,0,3,0,?,2,18,?,1,0,38,0,18,0,?,?,21,4,0,?,8
1477,?,1,0,1,3,15,24,10,?,7,?,3,?,?,2,18,?,0,?,?,0,18,0,16,?,?,4,0,?,8
1095,0,0,0,1,3,15,24,?,0,7,0,3,?,0,2,18,1,1,?,38,0,0,0,16,?,?,4,0,?,8
1094,3,0,0,1,?,15,24,10,0,?,0,3,?,0,?,?,?,1,0,38,0,0,0,?,?,21,4,0,?,8
1164,0,0,?,?,3,15,24,10,?,?,?,?,2,13,2,18,?,0,9,38,0,0,0,16,?,21,4,0,?,?
1081,5,0,0,1,3,?,?,10,?,7,0,?,2,13,2,?,0,0,0,38,0,?,0,16,?,?,?,0,?,8
1080,0,0,?,1,3,15,24,10,0,7,0,?,2,13,2,?,0,0,0,38,0,7,?,?,?,21,4,0,?,8
1763,0,?,0,1,0,?,10,10,5,0,?,3,?,14,2,17,1,0,18,4,?,0,0,16,15,?,4,4,36,8
1784,0,1,?,1,0,?,10,10,3,0,?,3,?,14,2,17,?,0,16,4,?,1,0,16,15,21,4,4,?,8
1892,0,1,0,1,?,?,?,10,?,?,1,3,?,14,2,0,1,0,?,4,?,0,0,16,15,21,4,4,36,8
1747,3,1,?,1,0,15,10,10,0,?,1,3,?,14,2,?,1,?,0,4,0,0,0,?,15,21,4,4,32,?
988,3,0,?,1,?,15,?,10,0,0,1,3,?,14,2,0,1,1,?,4,?,0,0,?,?,21,?,4,32,8
1742,0,1,0,1,?,15,10,10,3,?,1,3,0,14,2,0,1,?,10,?,9,0,?,16,15,?,4,4,0,?
1578,0,1,?,1,?,15,10,10,3,?,1,3,2,14,?,10,1,2,10,?,?,5,4,?,15,21,4,4,?,8
1725,0,1,0,?,?,15,10,10,3,0,1,3,2,14,2,10,1,2,10,?,9,5,4,16,15,?,4,4,?,8
1724,?,1,0,1,?,15,?,10,3,0,1,3,2,14,2,10,1,2,?,?,9,5,4,16,15,21,4,4,?,8
1364,3,0,?,1,0,15,10,10,?,0,?,3,0,14,2,?,1,2,10,?,0,0,4,16,15,21,4,4,0,8
1668,3,?,?,?,0,15,10,10,0,0,1,3,0,14,2,0,1,2,10,4,0,0,4,16,15,21,4,4,21,8
1903,3,?,0,?,?,15,10,10,0,0,1,3,0,14,2,0,1,2,10,4,0,0,4,16,?,21,?,4,0,8
1902,3,0,0,?,?,15,10,10,0,0,1,3,?,14,?,?,1,2,10,4,?,0,?,16,15,21,4,4,0,8
1666,3,0,1,1,1,?,?,10,?,6,?,3,2,14,2,0,1,2,10,?,0,?,4,16,15,21,4,?,0,8
1814,3,2,0,1,?,15,10,10,3,?,1,3,0,14,2,0,0,0,7,4,0,?,0,16,?,21,4,2,0,8
1887,3,?,0,1,41,15,10,10,3,15,1,3,0,14,?,0,?,0,0,4,9,?,0,16,?,21,4,2,?,8
2008,?,0,0,1,41,15,10,10,3,2,?,3,?,14,2,0,0,1,?,4,0,?,0,16,?,?,4,2,?,?
1879,3,0,?,1,41,15,10,10,0,0,1,3,0,?,2,?,0,0,0,4,13,?,0,16,15,21,4,2,0,?
1878,3,0,0,1,41,15,10,10,0,0,1,3,0,14,2,3,?,0,0,?,13,?,0,16,15,21,4,?,0,8
1029,3,0,?,1,41,15,10,?,3,?,1,3,?,14,2,3,0,0,?,4,13,?,0,16,15,21,?,2,18,?
2043,3,0,?,1,?,15,10,10,3,0,1,3,0,?,?,3,0,0,11,4,13,?,0,16,15,21,?,2,18,8
2042,3,0,0,1,41,15,10,?,3,0,1,3,0,14,2,3,0,0,11,4,13,?,0,16,15,21,?,2,?,8
1574,0,0,0,?,41,15,10,10,0,0,?,?,?,14,?,0,0,1,10,4,0,?,2,16,15,21,4,?,?,?
1764,0,0,0,?,41,15,10,10,0,8,1,3,0,?,2,?,0,0,?,?,5,?,5,16,15,21,4,?,0,?
1787,0,1,0,1,?,15,10,10,0,0,1,3,0,14,2,0,0,0,0,?,5,?,5,16,15,21,4,2,0,?
1544,0,0,1,1,41,?,10,10,3,?,1,3,0,14,?,0,0,3,0,4,?,?,?,?,15,21,?,2,0,?
1537,0,?,0,1,41,?,10,10,0,0,1,?,0,14,2,?,2,3,0,4,?,?,0,16,15,21,4,2,0,8
1373,1,?,0,?,41,?,10,10,0,0,1,3,0,14,2,0,0,?,?,?,5,?,?,?,15,21,?,2,?,8
1921,3,?,0,?,36,?,0,10,?,0,1,?,0,14,2,0,16,3,0,4,?,0,1,16,15,21,4,2,0,8
1953,?,0,0,1,?,15,2,10,?,0,1,?,2,14,?,0,16,3,0,4,0,0,1,?,15,21,4,?,0,8
1952,?,0,?,1,36,15,2,10,?,0,1,?,?,?,?,0,16,3,0,?,0,0,1,16,?,21,4,2,0,8
1024,3,0,0,1,36,15,0,10,?,0,1,3,?,14,2,0,16,3,0,4,0,6,1,?,?,21,4,2,0,8
1041,0,1,1,1,0,15,0,10,?,0,0,3,0,14,2,0,?,3,?,4,20,0,1,?,15,21,4,0,?,?
1040,0,1,1,1,0,?,0,10,?,?,0,3,?,14,2,?,?,3,0,4,20,0,?,16,?,21,4,?,0,?
1649,0,1,0,1,0,15,24,10,?,0,?,?,0,14,?,0,0,3,?,4,20,?,1,16,15,21,4,0,0,8
1648,?,1,0,1,0,15,24,10,?,0,?,?,0,14,2,?,?,3,3,4,20,4,1,16,15,21,4,0,0,8
1985,0,1,0,1,0,15,24,10,?,0,?,?,0,14,2,0,0,3,?,?,20,4,1,16,15,21,4,0,0,8
1582,?,1,?,1,0,15,24,?,?,0,0,?,0,?,2,0,0,?,?,4,20,4,1,16,15,21,?,?,27,8
1426,0,1,0,1,?,15,24,?,?,?,1,?,0,14,2,0,0,3,3,4,?,4,1,16,?,21,?,0,?,?
1549,0,1,1,1,0,15,0,?,0,0,0,?,0,14,2,6,17,3,0,4,9,?,1,16,15,21,4,?,12,8
1548,0,1,1,1,0,15,0,?,0,?,0,?,0,14,2,0,17,3,0,4,9,0,?,16,15,21,?,2,12,8
1594,0,1,1,?,?,15,0,10,0,21,?,?,0,14,2,0,17,3,0,4,9,0,1,16,15,21,?,2,0,8
1661,0,1,1,1,0,15,0,10,0,0,1,3,2,14,2,0,17,3,2,4,9,?,?,16,15,21,?,2,0,8
1563,?,1,1,?,?,15,0,10,0,7,0,3,3,14,2,3,17,3,7,4,9,0,1,16,15,?,4,0,0,8
1562,3,1,1,?,?,15,0,10,?,?,?,3,3,14,?,3,17,3,7,4,9,?,1,16,15,?,4,0,0,8
1440,0,1,1,1,?,15,0,10,?,13,?,3,?,14,?,0,17,?,0,4,9,33,1,16,15,21,4,0,3,?
1951,3,0,?,1,0,15,0,?,3,0,?,3,0,14,?,2,?,3,?,4,9,0,?,16,15,21,4,0,?,?
1950,3,0,?,1,0,15,0,10,3,0,1,?,0,14,?,2,0,3,0,4,?,0,5,16,15,21,4,0,25,8
985,0,?,0,1,0,15,?,10,0,0,1,3,0,?,?,2,1,3,0,4,?,0,5,?,15,21,4,2,25,8
2033,0,0,0,1,0,15,?,10,?,0,1,?,?,14,?,?,0,3,0,4,9,0,?,16,15,21,4,0,25,8
2032,?,0,0,1,0,15,0,10,0,0,1,3,?,14,?,2,0,3,0,4,9,0,5,16,15,?,4,0,25,8
2021,1,0,0,1,36,?,0,10,3,0,1,3,0,14,2,2,?,3,2,4,9,6,0,16,15,21,4,0,25,8
1050,1,0,0,1,36,15,0,10,3,0,1,3,0,14,2,2,0,3,2,4,9,6,0,?,?,21,4,0,25,?
1996,1,0,1,1,0,15,0,10,3,0,1,3,0,14,2,?,?,3,2,4,?,?,?,16,15,?,4,0,25,8
1068,?,1,0,0,0,?,0,?,3,0,0,?,0,0,2,?,8,?,10,0,0,0,?,16,12,21,4,0,0,8
1358,3,1,0,0,0,1,?,10,0,0,0,0,0,0,2,21,8,3,10,0,20,0,1,?,12,21,4,0,?,?
1101,3,1,1,1,0,0,0,10,0,0,1,0,2,0,2,21,?,0,10,?,0,0,4,?,12,21,4,0,0,8
1100,3,1,1,1,17,?,0,10,3,0,?,0,2,0,2,21,8,?,10,?,0,0,?,16,?,?,4,0,0,8
1279,?,1,0,0,0,0,0,?,0,0,0,?,0,0,2,?,8,0,10,0,0,0,0,16,12,?,4,0,32,8
1005,3,1,1,0,0,0,0,10,0,?,0,?,0,0,2,21,8,3,10,14,0,0,0,16,12,21,4,2,0,?
1004,?,1,1,0,0,?,0,10,0,?,0,?,?,0,2,21,8,?,10,14,0,0,0,16,12,21,4,2,0,8
1995,3,1,1,0,0,0,0,10,0,?,1,?,0,5,2,21,8,?,10,14,0,?,0,16,12,?,4,2,0,8
1909,3,1,1,0,0,0,17,10,0,?,0,0,1,5,2,21,8,3,10,14,10,0,4,16,?,?,4,2,0,8
