cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
1506,?,?,11,0,1,0,2,0,1,3,6,11,0,5,?,?,12,0,1,2,0,8,1,?,2,0,?,?,0,14
1981,?,?,0,?,1,0,2,0,1,3,6,11,0,5,?,?,12,0,1,?,0,8,1,?,2,3,24,3,?,?
1980,?,?,0,0,1,0,2,0,?,?,?,11,0,?,?,?,12,0,1,?,0,8,?,?,2,?,24,3,0,14
1627,1,?,0,0,1,0,2,0,?,3,?,?,?,5,16,?,12,?,1,?,?,?,1,?,2,10,?,3,0,14
1311,0,?,0,12,?,0,2,0,1,3,6,11,2,5,16,?,12,0,0,2,0,8,1,0,0,0,?,?,0,14
1282,0,3,0,12,1,?,2,?,1,3,?,?,2,5,16,?,12,4,0,2,0,8,1,0,0,0,?,?,0,14
1598,?,3,0,12,1,3,2,?,1,3,6,?,2,5,16,?,12,0,0,2,0,8,1,0,?,0,0,3,13,14
1607,?,3,47,?,1,0,2,?,4,3,6,?,2,5,16,?,12,?,0,?,0,8,1,15,0,0,0,3,0,14
1639,0,3,47,0,1,0,2,0,4,3,6,?,2,5,16,?,12,3,1,?,0,8,1,?,0,?,0,?,0,14
1638,0,3,47,?,1,0,2,0,?,3,6,?,2,5,16,?,12,3,0,?,0,8,1,15,0,0,0,3,0,14
1435,?,3,42,0,?,0,2,0,0,3,6,?,2,5,16,?,?,0,?,?,?,8,1,?,?,?,0,?,0,14
1434,?,?,42,0,1,0,2,0,0,3,6,?,?,5,16,?,12,?,?,?,?,8,1,15,0,0,0,3,0,14
1332,?,?,0,0,1,0,2,0,0,3,?,?,2,5,16,?,12,0,?,?,0,8,1,?,0,9,4,?,?,14
1491,?,3,0,0,1,0,?,0,0,3,6,?,2,?,16,?,?,0,0,?,0,8,1,31,0,0,3,3,13,14
1490,0,3,0,0,?,0,2,0,0,3,?,?,2,?,16,?,12,?,?,?,0,8,1,31,0,0,0,3,13,14
1754,1,?,0,7,1,0,2,0,0,3,6,?,2,5,16,?,12,?,0,?,?,8,1,?,0,0,4,3,?,14
1522,0,3,0,16,1,0,2,3,0,3,?,11,0,5,16,?,12,5,1,2,?,8,1,0,12,0,0,3,13,14
1449,1,?,6,?,1,0,?,?,0,3,6,11,0,5,16,?,12,?,1,2,3,8,1,?,12,22,0,3,13,?
1448,1,3,0,16,1,0,2,1,0,3,6,11,0,5,16,?,12,0,?,2,3,8,1,?,12,0,0,?,13,14
1349,1,3,0,16,1,?,2,1,0,3,6,?,5,5,16,?,12,0,1,2,3,8,1,0,?,0,0,3,13,14
1348,1,3,0,16,1,?,2,1,0,3,6,11,5,5,?,?,12,0,1,2,3,8,?,0,?,0,0,?,13,?
1052,?,3,0,16,?,0,2,?,0,3,6,11,0,5,16,?,?,1,1,2,3,8,1,0,?,0,?,?,13,14
1124,1,3,38,0,1,?,?,1,0,3,6,?,0,5,16,?,12,0,1,2,0,?,1,0,12,0,4,3,13,14
1035,?,3,0,0,1,0,2,0,0,3,6,11,2,5,?,?,12,26,1,2,0,8,1,0,12,0,4,3,13,14
1119,1,3,0,0,1,3,2,0,0,3,6,11,0,5,16,?,12,3,1,2,0,?,1,0,0,?,0,3,13,14
1118,?,3,0,0,?,3,2,3,0,3,6,11,0,?,?,?,12,3,1,2,?,8,?,0,0,0,0,3,13,14
1161,0,?,45,0,1,3,2,0,0,3,6,?,0,5,16,?,12,3,1,2,0,8,1,0,0,0,?,3,13,?
1160,0,3,45,0,1,3,2,0,?,3,6,11,?,5,16,?,12,3,1,?,0,8,1,0,0,0,0,3,13,14
1410,1,3,0,0,1,0,?,?,0,?,6,11,0,?,16,?,12,0,1,2,0,8,1,?,?,0,0,3,13,14
1113,0,3,19,10,?,?,2,1,4,3,6,?,0,5,16,?,12,0,1,2,0,8,1,?,13,?,0,3,?,14
1457,0,3,0,0,1,1,2,0,0,?,?,11,0,5,16,?,12,?,1,2,0,8,?,0,0,0,0,3,13,?
1456,?,?,0,0,1,1,2,1,0,3,?,11,?,5,16,?,12,?,1,2,0,8,1,0,?,0,0,3,13,?
1339,0,3,0,2,1,1,2,0,15,3,6,11,0,5,16,?,12,0,1,2,0,8,1,?,0,0,0,3,13,14
1338,0,3,0,0,1,1,2,0,15,?,6,11,?,5,16,?,?,0,?,2,0,8,1,0,?,?,0,3,13,14
1151,0,0,0,12,1,0,2,0,?,?,6,11,2,5,16,?,12,?,?,2,0,8,1,0,8,31,?,?,0,14
1159,1,0,22,?,1,0,2,1,0,3,6,11,2,5,16,?,12,0,1,2,?,8,1,0,8,31,0,?,0,14
1343,0,?,?,12,1,3,2,?,0,0,?,11,2,?,16,?,12,18,1,2,3,8,1,10,8,31,0,3,0,14
1111,1,?,0,12,?,0,2,0,0,?,6,11,2,?,16,?,12,?,1,2,?,8,1,0,8,31,0,?,?,14
1299,1,3,?,?,1,0,?,?,?,3,6,11,0,?,?,?,12,0,3,2,?,8,1,0,13,31,0,3,?,?
1298,1,3,0,?,1,0,?,0,0,3,6,11,0,5,16,?,?,0,3,2,?,8,?,0,0,?,?,3,0,14
1263,1,3,46,0,1,0,2,0,10,3,?,11,0,5,16,?,12,?,3,2,?,8,?,?,0,31,?,?,0,14
1262,1,3,46,0,1,0,?,0,10,3,?,11,0,5,16,?,12,?,3,2,0,?,?,18,?,?,?,3,0,14
1376,1,3,46,0,1,0,2,0,10,3,6,11,0,5,16,?,12,15,3,2,?,8,1,15,0,31,?,3,13,14
1251,0,?,38,0,1,0,2,0,0,?,6,11,0,5,16,?,12,0,3,2,0,8,1,?,2,?,0,3,0,14
1250,0,3,0,0,1,0,2,0,0,3,6,11,0,5,16,?,12,0,3,2,0,?,1,0,2,31,0,3,0,14
1173,0,3,0,0,?,0,2,?,4,3,6,11,2,5,16,?,12,0,?,2,0,8,?,5,2,31,0,3,?,14
1172,0,3,0,0,1,0,?,0,4,3,6,11,2,5,16,?,12,0,3,2,0,8,1,5,2,31,?,?,?,14
1406,?,3,0,0,1,0,2,0,4,3,6,11,2,5,?,?,12,0,3,2,0,8,1,5,2,?,0,3,?,14
1007,0,0,0,0,1,3,2,1,0,3,6,?,0,5,16,?,12,?,?,2,?,8,1,?,?,31,0,3,15,14
1972,?,0,0,0,1,3,2,1,0,3,6,11,0,?,16,?,12,0,?,2,0,8,?,0,?,31,0,?,?,14
1058,0,0,0,0,1,3,2,1,0,?,6,11,0,5,16,?,?,0,?,2,0,8,1,?,?,31,?,?,?,14
1867,0,1,1,33,?,3,2,?,0,3,6,11,2,5,16,?,12,?,?,2,0,8,1,0,?,31,4,?,15,14
1866,?,1,1,33,?,3,2,1,0,3,?,11,0,5,16,?,12,0,?,2,0,8,1,?,?,31,4,3,15,14
2044,0,1,?,0,?,3,2,1,0,3,6,11,?,5,16,?,12,0,?,2,0,8,?,0,?,31,4,3,?,14
2030,0,1,?,0,?,3,2,1,?,3,6,11,0,5,16,?,12,0,?,2,0,8,?,0,?,?,4,3,15,14
1048,0,0,0,?,?,3,2,0,10,0,6,11,0,?,16,?,12,0,1,2,0,8,1,16,?,?,?,3,15,14
1023,?,3,?,0,1,?,2,?,?,0,6,11,?,5,16,?,12,?,1,?,0,8,1,31,?,31,?,3,?,?
1022,?,0,0,0,1,3,2,0,?,?,6,11,0,5,16,?,12,?,1,2,0,8,1,31,?,31,0,3,15,14
983,?,?,?,0,1,3,2,0,0,0,?,11,0,5,16,?,12,0,1,2,0,8,1,31,?,31,25,3,15,14
1964,0,0,0,0,1,3,?,0,16,0,6,11,0,5,16,?,?,0,1,2,0,8,1,31,?,31,0,3,?,?
1301,0,0,?,7,?,3,2,0,0,0,6,11,0,5,16,?,12,0,0,?,0,8,1,10,0,31,?,3,15,?
1300,0,0,?,7,?,3,2,0,0,0,6,11,0,5,16,?,12,0,0,?,0,8,1,10,?,31,0,3,15,14
1476,0,3,?,?,1,3,2,0,0,8,6,11,0,?,16,?,12,0,0,2,4,?,1,2,?,?,8,3,15,?
1727,0,0,0,?,1,3,2,0,?,8,6,11,0,5,16,?,12,0,0,2,4,8,?,2,?,31,0,3,15,14
1094,0,0,0,0,1,3,2,0,0,?,?,11,0,?,16,?,12,0,?,?,0,8,1,0,?,?,0,3,?,?
1045,0,?,0,0,1,3,2,0,0,0,?,?,0,5,16,?,12,0,3,2,?,8,1,0,?,?,0,3,?,?
1165,1,?,29,0,1,3,?,0,0,3,?,11,0,?,16,?,12,0,0,?,?,?,1,?,?,?,0,?,15,?
1164,0,0,29,0,1,3,2,0,0,3,?,11,0,5,?,?,12,0,0,2,0,?,1,0,?,?,0,3,15,?
1763,1,?,?,?,1,0,?,?,0,3,?,13,5,?,16,7,12,0,0,?,0,8,1,0,12,1,?,?,?,14
1762,1,0,?,?,1,0,2,?,0,3,?,13,5,?,16,7,12,0,0,?,0,8,1,0,12,1,0,?,?,14
1785,1,0,?,0,1,0,2,?,0,3,6,13,5,?,16,?,?,0,0,?,0,8,1,0,12,1,0,?,?,14
1893,1,3,?,2,1,3,2,?,0,?,6,?,5,?,?,7,12,0,0,?,4,8,1,0,13,?,?,3,?,14
1892,1,3,?,2,1,3,2,?,0,3,6,?,5,?,16,7,?,0,0,?,4,8,1,?,13,1,3,3,?,14
1805,1,3,?,0,1,3,2,?,0,?,6,13,5,?,16,7,12,0,0,?,0,8,?,0,0,0,?,?,?,?
1804,1,3,?,0,1,3,2,?,0,3,6,13,5,?,16,7,12,0,0,?,0,8,?,0,0,0,0,?,?,14
1746,?,3,?,12,1,0,?,?,0,?,6,13,5,0,16,7,12,?,0,?,0,8,1,0,0,0,0,3,?,14
1092,?,0,?,?,1,0,?,?,1,3,6,13,5,0,16,7,12,0,0,?,?,8,1,31,0,0,?,3,?,14
1742,0,0,?,?,1,3,2,0,?,3,?,13,5,0,16,?,12,?,0,?,0,8,1,0,0,18,0,3,?,14
976,0,0,?,?,1,3,2,0,0,3,?,13,5,0,16,7,12,?,0,?,?,?,1,0,0,18,0,3,?,?
1668,0,?,?,?,1,3,?,0,3,3,6,13,5,0,16,7,12,0,0,?,0,8,?,?,0,?,0,3,?,14
1903,0,?,?,?,1,3,2,0,0,?,6,13,5,0,16,7,?,0,3,?,1,8,1,0,0,18,0,?,?,14
1815,?,3,0,0,?,0,?,0,?,?,6,13,5,0,?,7,12,?,0,?,0,8,1,0,1,0,0,3,?,14
1887,1,3,0,0,?,0,?,0,?,3,6,13,5,0,16,7,12,0,0,?,0,8,1,0,?,?,0,3,?,14
1886,1,?,0,0,?,3,?,0,?,3,6,?,5,0,16,7,12,0,0,?,0,?,1,?,0,?,0,3,?,14
2009,0,3,0,?,?,0,2,0,11,3,6,13,?,0,16,7,12,0,?,?,?,8,1,0,?,0,0,3,?,?
1859,1,3,0,0,?,3,2,0,11,3,6,13,5,3,16,7,?,0,1,?,0,8,1,0,0,0,?,3,?,14
1879,1,3,?,0,?,3,2,0,11,?,?,13,5,3,16,?,?,0,1,?,0,8,1,0,13,?,8,3,?,14
1878,1,3,0,0,?,3,2,?,11,3,6,13,5,3,16,7,12,0,1,?,0,8,?,0,?,16,8,3,?,?
1575,0,?,0,0,?,?,2,?,25,3,6,13,5,5,16,?,12,12,1,?,1,8,?,0,0,0,0,?,?,14
1765,1,0,31,0,?,2,?,0,24,3,6,13,5,5,?,?,12,12,0,?,1,8,1,?,0,0,0,3,?,14
1764,?,0,31,?,?,2,2,0,24,3,6,?,5,5,16,?,12,12,0,?,?,8,1,0,0,0,?,3,?,14
1786,?,0,38,9,?,2,2,?,0,3,6,13,5,5,?,?,12,12,0,?,1,8,1,0,8,0,?,3,?,14
1793,?,0,0,0,?,?,2,?,4,3,6,13,5,5,16,7,12,12,0,?,1,8,1,9,0,19,0,3,?,14
1792,?,?,0,0,?,3,?,0,4,3,?,?,5,5,16,7,12,12,0,?,?,8,1,?,0,19,0,3,?,?
1544,0,0,0,?,?,3,?,0,4,3,?,13,5,5,?,7,12,12,0,?,1,8,1,9,0,0,0,3,?,14
1373,?,0,0,0,?,0,2,0,?,3,6,13,5,5,16,7,12,12,0,?,1,8,1,10,0,0,0,?,?,14
1043,0,0,4,2,1,3,2,1,0,?,6,?,?,0,?,7,12,0,0,?,0,8,?,0,?,?,0,3,?,14
1042,0,0,0,2,1,3,2,1,0,3,6,0,0,0,16,7,12,0,0,2,0,?,?,0,0,0,0,3,?,14
1056,0,0,?,2,1,3,2,1,?,3,6,?,?,0,16,7,12,0,0,2,0,?,?,0,?,0,20,3,?,14
1953,0,0,22,?,1,3,2,?,19,?,6,?,0,0,16,7,12,0,1,2,4,8,1,0,0,14,0,3,?,14
1952,0,0,22,0,1,3,2,1,19,3,?,0,0,0,16,7,12,0,1,?,4,8,?,0,?,?,0,3,?,14
1025,0,0,0,0,1,?,?,1,19,3,6,0,0,0,16,7,12,0,0,2,4,8,?,10,0,0,?,?,?,14
2007,0,?,0,0,1,3,2,?,0,3,6,0,2,3,?,7,12,?,?,2,1,8,1,0,0,0,11,3,?,14
2013,0,?,0,16,1,3,2,1,3,3,?,7,2,3,16,7,12,0,?,2,?,8,?,0,?,?,11,3,?,14
